,_id,_openid,peoplenumber,placename,time
0,17b0c7775e993d760048848221c70ea6,o6qzt0D7YqGGfC_2kXodXHG25RaY,280,MAWA梁场,2020\/05\/24 16:38:32
1,87017e375ea2d852001db9b0202b05a7,o6qzt0D7YqGGfC_2kXodXHG25RaY,6,物资部,2020\/05\/24 16:44:30
2,794792045ea2d8620021b8ea6b87d148,o6qzt0D7YqGGfC_2kXodXHG25RaY,160,第一套公路板架设,2020\/05\/24 16:39:19
3,b7ef76b45ea31948002373975f531c2e,o6qzt0D7YqGGfC_2kXodXHG25RaY,130,MAWA现场,2020\/05\/24 16:44:18
4,794792045ea52d3e003c0b187fcf80c7,o6qzt0D7YqGGfC_2kXodXHG25RaY,77,J岸现场,2020\/05\/24 16:37:22
5,fddd30c55ea83527000338cb261e0e11,o6qzt0D7YqGGfC_2kXodXHG25RaY,70,第二套公路板架设,2020\/05\/24 16:39:33
6,fddd30c55ead97420044dc4e3bdec7d0,o6qzt0D7YqGGfC_2kXodXHG25RaY,290,J岸梁场,2020\/05\/24 16:39:02
7,f10018335ead976500465051092c003e,o6qzt0D7YqGGfC_2kXodXHG25RaY,23,J岸搅拌站,2020\/05\/02 21:53:07
8,593e51e65ead9790004ab4b016d315bc,o6qzt0D7YqGGfC_2kXodXHG25RaY,80,钢梁班组,2020\/05\/24 16:38:01
9,5feb61565ead97ac00583486479a9bb5,o6qzt0D7YqGGfC_2kXodXHG25RaY,32,电工班组,2020\/05\/02 21:54:18
10,f10018335ead97b90046523e1826f844,o6qzt0D7YqGGfC_2kXodXHG25RaY,25,实验室,2020\/05\/02 21:54:31
11,fddd30c55ead97e30044e00747889248,o6qzt0D7YqGGfC_2kXodXHG25RaY,15,机械部,2020\/05\/02 21:55:12
12,982133855eba14db00898dd47e0a4501,o6qzt0D7YqGGfC_2kXodXHG25RaY,1,供应商malek,2020\/05\/12 09:15:38
